,id,cumsum,unixtime,country,date
0,909,1,1579651200000,JAPAN,2020-01-22
1,1371,1,1579651200000,REPUBLIC OF KOREA,2020-01-22
2,1737,4,1579651200000,THAILAND,2020-01-22
3,1894,1,1579651200000,UNITED STATES OF AMERICA,2020-01-22
4,348,574,1579737600000,CHINA,2020-01-23
5,910,1,1579737600000,JAPAN,2020-01-23
6,1372,1,1579737600000,REPUBLIC OF KOREA,2020-01-23
7,1738,4,1579737600000,THAILAND,2020-01-23
8,1895,1,1579737600000,UNITED STATES OF AMERICA,2020-01-23
9,349,835,1579824000000,CHINA,2020-01-24
10,911,1,1579824000000,JAPAN,2020-01-24
11,1373,2,1579824000000,REPUBLIC OF KOREA,2020-01-24
12,1531,1,1579824000000,SINGAPORE,2020-01-24
13,1739,4,1579824000000,THAILAND,2020-01-24
14,1896,1,1579824000000,UNITED STATES OF AMERICA,2020-01-24
15,1944,2,1579824000000,VIET NAM,2020-01-24
16,64,3,1579910400000,AUSTRALIA,2020-01-25
17,350,1297,1579910400000,CHINA,2020-01-25
18,556,3,1579910400000,FRANCE,2020-01-25
19,912,3,1579910400000,JAPAN,2020-01-25
20,1138,1,1579910400000,NEPAL,2020-01-25
21,1374,2,1579910400000,REPUBLIC OF KOREA,2020-01-25
22,1532,3,1579910400000,SINGAPORE,2020-01-25
23,1740,4,1579910400000,THAILAND,2020-01-25
24,1897,2,1579910400000,UNITED STATES OF AMERICA,2020-01-25
25,1945,2,1579910400000,VIET NAM,2020-01-25
26,65,4,1579996800000,AUSTRALIA,2020-01-26
27,351,1985,1579996800000,CHINA,2020-01-26
28,557,3,1579996800000,FRANCE,2020-01-26
29,913,3,1579996800000,JAPAN,2020-01-26
30,1044,3,1579996800000,MALAYSIA,2020-01-26
31,1139,1,1579996800000,NEPAL,2020-01-26
32,1375,2,1579996800000,REPUBLIC OF KOREA,2020-01-26
33,1533,4,1579996800000,SINGAPORE,2020-01-26
34,1741,5,1579996800000,THAILAND,2020-01-26
35,1898,2,1579996800000,UNITED STATES OF AMERICA,2020-01-26
36,1946,2,1579996800000,VIET NAM,2020-01-26
37,66,4,1580083200000,AUSTRALIA,2020-01-27
38,295,1,1580083200000,CANADA,2020-01-27
39,352,2761,1580083200000,CHINA,2020-01-27
40,558,3,1580083200000,FRANCE,2020-01-27
41,914,4,1580083200000,JAPAN,2020-01-27
42,1045,4,1580083200000,MALAYSIA,2020-01-27
43,1140,1,1580083200000,NEPAL,2020-01-27
44,1376,3,1580083200000,REPUBLIC OF KOREA,2020-01-27
45,1534,4,1580083200000,SINGAPORE,2020-01-27
46,1742,5,1580083200000,THAILAND,2020-01-27
47,1899,5,1580083200000,UNITED STATES OF AMERICA,2020-01-27
48,1947,2,1580083200000,VIET NAM,2020-01-27
49,67,5,1580169600000,AUSTRALIA,2020-01-28
50,245,1,1580169600000,CAMBODIA,2020-01-28
51,296,2,1580169600000,CANADA,2020-01-28
52,353,4537,1580169600000,CHINA,2020-01-28
53,559,3,1580169600000,FRANCE,2020-01-28
54,621,1,1580169600000,GERMANY,2020-01-28
55,915,6,1580169600000,JAPAN,2020-01-28
56,1046,4,1580169600000,MALAYSIA,2020-01-28
57,1141,1,1580169600000,NEPAL,2020-01-28
58,1377,4,1580169600000,REPUBLIC OF KOREA,2020-01-28
59,1535,7,1580169600000,SINGAPORE,2020-01-28
60,1637,1,1580169600000,SRI LANKA,2020-01-28
61,1743,14,1580169600000,THAILAND,2020-01-28
62,1900,5,1580169600000,UNITED STATES OF AMERICA,2020-01-28
63,1948,2,1580169600000,VIET NAM,2020-01-28
64,68,7,1580256000000,AUSTRALIA,2020-01-29
65,246,1,1580256000000,CAMBODIA,2020-01-29
66,297,3,1580256000000,CANADA,2020-01-29
67,354,5997,1580256000000,CHINA,2020-01-29
68,560,4,1580256000000,FRANCE,2020-01-29
69,622,4,1580256000000,GERMANY,2020-01-29
70,916,7,1580256000000,JAPAN,2020-01-29
71,1047,4,1580256000000,MALAYSIA,2020-01-29
72,1142,1,1580256000000,NEPAL,2020-01-29
73,1378,4,1580256000000,REPUBLIC OF KOREA,2020-01-29
74,1536,7,1580256000000,SINGAPORE,2020-01-29
75,1638,1,1580256000000,SRI LANKA,2020-01-29
76,1744,14,1580256000000,THAILAND,2020-01-29
77,1810,4,1580256000000,UNITED ARAB EMIRATES,2020-01-29
78,1901,5,1580256000000,UNITED STATES OF AMERICA,2020-01-29
79,1949,2,1580256000000,VIET NAM,2020-01-29
80,69,7,1580342400000,AUSTRALIA,2020-01-30
81,247,1,1580342400000,CAMBODIA,2020-01-30
82,298,3,1580342400000,CANADA,2020-01-30
83,355,7736,1580342400000,CHINA,2020-01-30
84,514,1,1580342400000,FINLAND,2020-01-30
85,561,5,1580342400000,FRANCE,2020-01-30
86,623,4,1580342400000,GERMANY,2020-01-30
87,712,1,1580342400000,INDIA,2020-01-30
88,917,11,1580342400000,JAPAN,2020-01-30
89,1048,7,1580342400000,MALAYSIA,2020-01-30
90,1143,1,1580342400000,NEPAL,2020-01-30
91,1299,1,1580342400000,PHILIPPINES,2020-01-30
92,1379,4,1580342400000,REPUBLIC OF KOREA,2020-01-30
93,1537,10,1580342400000,SINGAPORE,2020-01-30
94,1639,1,1580342400000,SRI LANKA,2020-01-30
95,1745,14,1580342400000,THAILAND,2020-01-30
96,1811,4,1580342400000,UNITED ARAB EMIRATES,2020-01-30
97,1902,5,1580342400000,UNITED STATES OF AMERICA,2020-01-30
98,1950,2,1580342400000,VIET NAM,2020-01-30
99,70,9,1580428800000,AUSTRALIA,2020-01-31
100,248,1,1580428800000,CAMBODIA,2020-01-31
101,299,3,1580428800000,CANADA,2020-01-31
102,356,9720,1580428800000,CHINA,2020-01-31
103,515,1,1580428800000,FINLAND,2020-01-31
104,562,6,1580428800000,FRANCE,2020-01-31
105,624,6,1580428800000,GERMANY,2020-01-31
106,713,1,1580428800000,INDIA,2020-01-31
107,868,2,1580428800000,ITALY,2020-01-31
108,918,15,1580428800000,JAPAN,2020-01-31
109,1049,8,1580428800000,MALAYSIA,2020-01-31
110,1144,1,1580428800000,NEPAL,2020-01-31
111,1300,1,1580428800000,PHILIPPINES,2020-01-31
112,1380,11,1580428800000,REPUBLIC OF KOREA,2020-01-31
113,1439,2,1580428800000,RUSSIAN FEDERATION,2020-01-31
114,1538,16,1580428800000,SINGAPORE,2020-01-31
115,1640,1,1580428800000,SRI LANKA,2020-01-31
116,1681,1,1580428800000,SWEDEN,2020-01-31
117,1746,19,1580428800000,THAILAND,2020-01-31
118,1812,4,1580428800000,UNITED ARAB EMIRATES,2020-01-31
119,1853,2,1580428800000,UNITED KINGDOM,2020-01-31
120,1903,6,1580428800000,UNITED STATES OF AMERICA,2020-01-31
121,1951,5,1580428800000,VIET NAM,2020-01-31
122,71,12,1580515200000,AUSTRALIA,2020-02-01
123,249,1,1580515200000,CAMBODIA,2020-02-01
124,300,4,1580515200000,CANADA,2020-02-01
125,357,11821,1580515200000,CHINA,2020-02-01
126,516,1,1580515200000,FINLAND,2020-02-01
127,563,6,1580515200000,FRANCE,2020-02-01
128,625,7,1580515200000,GERMANY,2020-02-01
129,714,1,1580515200000,INDIA,2020-02-01
130,869,2,1580515200000,ITALY,2020-02-01
131,919,17,1580515200000,JAPAN,2020-02-01
132,1050,8,1580515200000,MALAYSIA,2020-02-01
133,1145,1,1580515200000,NEPAL,2020-02-01
134,1301,1,1580515200000,PHILIPPINES,2020-02-01
135,1381,12,1580515200000,REPUBLIC OF KOREA,2020-02-01
136,1440,2,1580515200000,RUSSIAN FEDERATION,2020-02-01
137,1539,18,1580515200000,SINGAPORE,2020-02-01
138,1597,1,1580515200000,SPAIN,2020-02-01
139,1641,1,1580515200000,SRI LANKA,2020-02-01
140,1682,1,1580515200000,SWEDEN,2020-02-01
141,1747,19,1580515200000,THAILAND,2020-02-01
142,1813,4,1580515200000,UNITED ARAB EMIRATES,2020-02-01
143,1854,2,1580515200000,UNITED KINGDOM,2020-02-01
144,1904,7,1580515200000,UNITED STATES OF AMERICA,2020-02-01
145,1952,6,1580515200000,VIET NAM,2020-02-01
146,72,12,1580601600000,AUSTRALIA,2020-02-02
147,250,1,1580601600000,CAMBODIA,2020-02-02
148,301,4,1580601600000,CANADA,2020-02-02
149,358,14411,1580601600000,CHINA,2020-02-02
150,517,1,1580601600000,FINLAND,2020-02-02
151,564,6,1580601600000,FRANCE,2020-02-02
152,626,10,1580601600000,GERMANY,2020-02-02
153,715,2,1580601600000,INDIA,2020-02-02
154,870,2,1580601600000,ITALY,2020-02-02
155,920,20,1580601600000,JAPAN,2020-02-02
156,1051,8,1580601600000,MALAYSIA,2020-02-02
157,1146,1,1580601600000,NEPAL,2020-02-02
158,1302,2,1580601600000,PHILIPPINES,2020-02-02
159,1382,15,1580601600000,REPUBLIC OF KOREA,2020-02-02
160,1441,2,1580601600000,RUSSIAN FEDERATION,2020-02-02
161,1540,18,1580601600000,SINGAPORE,2020-02-02
162,1598,1,1580601600000,SPAIN,2020-02-02
163,1642,1,1580601600000,SRI LANKA,2020-02-02
164,1683,1,1580601600000,SWEDEN,2020-02-02
165,1748,19,1580601600000,THAILAND,2020-02-02
166,1814,5,1580601600000,UNITED ARAB EMIRATES,2020-02-02
167,1855,2,1580601600000,UNITED KINGDOM,2020-02-02
168,1905,8,1580601600000,UNITED STATES OF AMERICA,2020-02-02
169,1953,7,1580601600000,VIET NAM,2020-02-02
170,73,12,1580688000000,AUSTRALIA,2020-02-03
171,251,1,1580688000000,CAMBODIA,2020-02-03
172,302,4,1580688000000,CANADA,2020-02-03
173,359,17238,1580688000000,CHINA,2020-02-03
174,518,1,1580688000000,FINLAND,2020-02-03
175,565,6,1580688000000,FRANCE,2020-02-03
176,627,10,1580688000000,GERMANY,2020-02-03
177,716,3,1580688000000,INDIA,2020-02-03
178,871,2,1580688000000,ITALY,2020-02-03
179,921,20,1580688000000,JAPAN,2020-02-03
180,1052,8,1580688000000,MALAYSIA,2020-02-03
181,1147,1,1580688000000,NEPAL,2020-02-03
182,1303,2,1580688000000,PHILIPPINES,2020-02-03
183,1383,15,1580688000000,REPUBLIC OF KOREA,2020-02-03
184,1442,2,1580688000000,RUSSIAN FEDERATION,2020-02-03
185,1541,18,1580688000000,SINGAPORE,2020-02-03
186,1599,1,1580688000000,SPAIN,2020-02-03
187,1643,1,1580688000000,SRI LANKA,2020-02-03
188,1684,1,1580688000000,SWEDEN,2020-02-03
189,1749,19,1580688000000,THAILAND,2020-02-03
190,1815,5,1580688000000,UNITED ARAB EMIRATES,2020-02-03
191,1856,2,1580688000000,UNITED KINGDOM,2020-02-03
192,1906,11,1580688000000,UNITED STATES OF AMERICA,2020-02-03
193,1954,8,1580688000000,VIET NAM,2020-02-03
194,74,13,1580774400000,AUSTRALIA,2020-02-04
195,173,1,1580774400000,BELGIUM,2020-02-04
196,252,1,1580774400000,CAMBODIA,2020-02-04
197,303,4,1580774400000,CANADA,2020-02-04
198,360,20471,1580774400000,CHINA,2020-02-04
199,519,1,1580774400000,FINLAND,2020-02-04
200,566,6,1580774400000,FRANCE,2020-02-04
201,628,12,1580774400000,GERMANY,2020-02-04
202,717,3,1580774400000,INDIA,2020-02-04
203,872,2,1580774400000,ITALY,2020-02-04
204,922,21,1580774400000,JAPAN,2020-02-04
205,1053,10,1580774400000,MALAYSIA,2020-02-04
206,1148,1,1580774400000,NEPAL,2020-02-04
207,1304,3,1580774400000,PHILIPPINES,2020-02-04
208,1384,16,1580774400000,REPUBLIC OF KOREA,2020-02-04
209,1443,2,1580774400000,RUSSIAN FEDERATION,2020-02-04
210,1542,24,1580774400000,SINGAPORE,2020-02-04
211,1600,1,1580774400000,SPAIN,2020-02-04
212,1644,1,1580774400000,SRI LANKA,2020-02-04
213,1685,1,1580774400000,SWEDEN,2020-02-04
214,1750,25,1580774400000,THAILAND,2020-02-04
215,1816,5,1580774400000,UNITED ARAB EMIRATES,2020-02-04
216,1857,2,1580774400000,UNITED KINGDOM,2020-02-04
217,1907,11,1580774400000,UNITED STATES OF AMERICA,2020-02-04
218,1955,10,1580774400000,VIET NAM,2020-02-04
219,75,14,1580860800000,AUSTRALIA,2020-02-05
220,174,1,1580860800000,BELGIUM,2020-02-05
221,253,1,1580860800000,CAMBODIA,2020-02-05
222,304,5,1580860800000,CANADA,2020-02-05
223,361,24363,1580860800000,CHINA,2020-02-05
224,520,1,1580860800000,FINLAND,2020-02-05
225,567,6,1580860800000,FRANCE,2020-02-05
226,629,12,1580860800000,GERMANY,2020-02-05
227,718,3,1580860800000,INDIA,2020-02-05
228,873,2,1580860800000,ITALY,2020-02-05
229,923,34,1580860800000,JAPAN,2020-02-05
230,1054,12,1580860800000,MALAYSIA,2020-02-05
231,1149,1,1580860800000,NEPAL,2020-02-05
232,1305,3,1580860800000,PHILIPPINES,2020-02-05
233,1385,18,1580860800000,REPUBLIC OF KOREA,2020-02-05
234,1444,2,1580860800000,RUSSIAN FEDERATION,2020-02-05
235,1543,28,1580860800000,SINGAPORE,2020-02-05
236,1601,1,1580860800000,SPAIN,2020-02-05
237,1645,1,1580860800000,SRI LANKA,2020-02-05
238,1686,1,1580860800000,SWEDEN,2020-02-05
239,1751,25,1580860800000,THAILAND,2020-02-05
240,1817,5,1580860800000,UNITED ARAB EMIRATES,2020-02-05
241,1858,2,1580860800000,UNITED KINGDOM,2020-02-05
242,1908,11,1580860800000,UNITED STATES OF AMERICA,2020-02-05
243,1956,10,1580860800000,VIET NAM,2020-02-05
244,76,15,1580947200000,AUSTRALIA,2020-02-06
245,175,1,1580947200000,BELGIUM,2020-02-06
246,254,1,1580947200000,CAMBODIA,2020-02-06
247,305,5,1580947200000,CANADA,2020-02-06
248,362,28060,1580947200000,CHINA,2020-02-06
249,521,1,1580947200000,FINLAND,2020-02-06
250,568,6,1580947200000,FRANCE,2020-02-06
251,630,13,1580947200000,GERMANY,2020-02-06
252,719,3,1580947200000,INDIA,2020-02-06
253,764,20,1580947200000,International conveyance (Diamond Princess),2020-02-06
254,874,2,1580947200000,ITALY,2020-02-06
255,924,25,1580947200000,JAPAN,2020-02-06
256,1055,14,1580947200000,MALAYSIA,2020-02-06
257,1150,1,1580947200000,NEPAL,2020-02-06
258,1306,3,1580947200000,PHILIPPINES,2020-02-06
259,1386,23,1580947200000,REPUBLIC OF KOREA,2020-02-06
260,1445,2,1580947200000,RUSSIAN FEDERATION,2020-02-06
261,1544,30,1580947200000,SINGAPORE,2020-02-06
262,1602,1,1580947200000,SPAIN,2020-02-06
263,1646,1,1580947200000,SRI LANKA,2020-02-06
264,1687,1,1580947200000,SWEDEN,2020-02-06
265,1752,25,1580947200000,THAILAND,2020-02-06
266,1818,5,1580947200000,UNITED ARAB EMIRATES,2020-02-06
267,1859,3,1580947200000,UNITED KINGDOM,2020-02-06
268,1909,12,1580947200000,UNITED STATES OF AMERICA,2020-02-06
269,1957,12,1580947200000,VIET NAM,2020-02-06
270,77,15,1581033600000,AUSTRALIA,2020-02-07
271,176,1,1581033600000,BELGIUM,2020-02-07
272,255,1,1581033600000,CAMBODIA,2020-02-07
273,306,7,1581033600000,CANADA,2020-02-07
274,363,31211,1581033600000,CHINA,2020-02-07
275,522,1,1581033600000,FINLAND,2020-02-07
276,569,6,1581033600000,FRANCE,2020-02-07
277,631,13,1581033600000,GERMANY,2020-02-07
278,720,3,1581033600000,INDIA,2020-02-07
279,765,61,1581033600000,International conveyance (Diamond Princess),2020-02-07
280,875,3,1581033600000,ITALY,2020-02-07
281,925,25,1581033600000,JAPAN,2020-02-07
282,1056,15,1581033600000,MALAYSIA,2020-02-07
283,1151,1,1581033600000,NEPAL,2020-02-07
284,1307,3,1581033600000,PHILIPPINES,2020-02-07
285,1387,24,1581033600000,REPUBLIC OF KOREA,2020-02-07
286,1446,2,1581033600000,RUSSIAN FEDERATION,2020-02-07
287,1545,33,1581033600000,SINGAPORE,2020-02-07
288,1603,1,1581033600000,SPAIN,2020-02-07
289,1647,1,1581033600000,SRI LANKA,2020-02-07
290,1688,1,1581033600000,SWEDEN,2020-02-07
291,1753,25,1581033600000,THAILAND,2020-02-07
292,1819,5,1581033600000,UNITED ARAB EMIRATES,2020-02-07
293,1860,3,1581033600000,UNITED KINGDOM,2020-02-07
294,1910,12,1581033600000,UNITED STATES OF AMERICA,2020-02-07
295,1958,12,1581033600000,VIET NAM,2020-02-07
296,78,15,1581120000000,AUSTRALIA,2020-02-08
297,177,1,1581120000000,BELGIUM,2020-02-08
298,256,1,1581120000000,CAMBODIA,2020-02-08
299,307,7,1581120000000,CANADA,2020-02-08
300,364,34598,1581120000000,CHINA,2020-02-08
301,523,1,1581120000000,FINLAND,2020-02-08
302,570,11,1581120000000,FRANCE,2020-02-08
303,632,14,1581120000000,GERMANY,2020-02-08
304,721,3,1581120000000,INDIA,2020-02-08
305,766,64,1581120000000,International conveyance (Diamond Princess),2020-02-08
306,876,3,1581120000000,ITALY,2020-02-08
307,926,25,1581120000000,JAPAN,2020-02-08
308,1057,16,1581120000000,MALAYSIA,2020-02-08
309,1152,1,1581120000000,NEPAL,2020-02-08
310,1308,3,1581120000000,PHILIPPINES,2020-02-08
311,1388,24,1581120000000,REPUBLIC OF KOREA,2020-02-08
312,1447,2,1581120000000,RUSSIAN FEDERATION,2020-02-08
313,1546,33,1581120000000,SINGAPORE,2020-02-08
314,1604,1,1581120000000,SPAIN,2020-02-08
315,1648,1,1581120000000,SRI LANKA,2020-02-08
316,1689,1,1581120000000,SWEDEN,2020-02-08
317,1754,32,1581120000000,THAILAND,2020-02-08
318,1820,7,1581120000000,UNITED ARAB EMIRATES,2020-02-08
319,1861,3,1581120000000,UNITED KINGDOM,2020-02-08
320,1911,12,1581120000000,UNITED STATES OF AMERICA,2020-02-08
321,1959,13,1581120000000,VIET NAM,2020-02-08
322,79,15,1581206400000,AUSTRALIA,2020-02-09
323,178,1,1581206400000,BELGIUM,2020-02-09
324,257,1,1581206400000,CAMBODIA,2020-02-09
325,308,7,1581206400000,CANADA,2020-02-09
326,365,37251,1581206400000,CHINA,2020-02-09
327,524,1,1581206400000,FINLAND,2020-02-09
328,571,11,1581206400000,FRANCE,2020-02-09
329,633,14,1581206400000,GERMANY,2020-02-09
330,722,3,1581206400000,INDIA,2020-02-09
331,767,64,1581206400000,International conveyance (Diamond Princess),2020-02-09
332,877,3,1581206400000,ITALY,2020-02-09
333,927,26,1581206400000,JAPAN,2020-02-09
334,1058,17,1581206400000,MALAYSIA,2020-02-09
335,1153,1,1581206400000,NEPAL,2020-02-09
336,1309,3,1581206400000,PHILIPPINES,2020-02-09
337,1389,27,1581206400000,REPUBLIC OF KOREA,2020-02-09
338,1448,2,1581206400000,RUSSIAN FEDERATION,2020-02-09
339,1547,43,1581206400000,SINGAPORE,2020-02-09
340,1605,2,1581206400000,SPAIN,2020-02-09
341,1649,1,1581206400000,SRI LANKA,2020-02-09
342,1690,1,1581206400000,SWEDEN,2020-02-09
343,1755,32,1581206400000,THAILAND,2020-02-09
344,1821,7,1581206400000,UNITED ARAB EMIRATES,2020-02-09
345,1862,4,1581206400000,UNITED KINGDOM,2020-02-09
346,1912,12,1581206400000,UNITED STATES OF AMERICA,2020-02-09
347,1960,14,1581206400000,VIET NAM,2020-02-09
348,80,15,1581292800000,AUSTRALIA,2020-02-10
349,179,1,1581292800000,BELGIUM,2020-02-10
350,258,1,1581292800000,CAMBODIA,2020-02-10
351,309,7,1581292800000,CANADA,2020-02-10
352,366,40235,1581292800000,CHINA,2020-02-10
353,525,1,1581292800000,FINLAND,2020-02-10
354,572,11,1581292800000,FRANCE,2020-02-10
355,634,14,1581292800000,GERMANY,2020-02-10
356,723,3,1581292800000,INDIA,2020-02-10
357,768,70,1581292800000,International conveyance (Diamond Princess),2020-02-10
358,878,3,1581292800000,ITALY,2020-02-10
359,928,26,1581292800000,JAPAN,2020-02-10
360,1059,18,1581292800000,MALAYSIA,2020-02-10
361,1154,1,1581292800000,NEPAL,2020-02-10
362,1310,3,1581292800000,PHILIPPINES,2020-02-10
363,1390,27,1581292800000,REPUBLIC OF KOREA,2020-02-10
364,1449,2,1581292800000,RUSSIAN FEDERATION,2020-02-10
365,1548,45,1581292800000,SINGAPORE,2020-02-10
366,1606,2,1581292800000,SPAIN,2020-02-10
367,1650,1,1581292800000,SRI LANKA,2020-02-10
368,1691,1,1581292800000,SWEDEN,2020-02-10
369,1756,32,1581292800000,THAILAND,2020-02-10
370,1822,7,1581292800000,UNITED ARAB EMIRATES,2020-02-10
371,1863,8,1581292800000,UNITED KINGDOM,2020-02-10
372,1913,12,1581292800000,UNITED STATES OF AMERICA,2020-02-10
373,1961,14,1581292800000,VIET NAM,2020-02-10
374,81,15,1581379200000,AUSTRALIA,2020-02-11
375,180,1,1581379200000,BELGIUM,2020-02-11
376,259,1,1581379200000,CAMBODIA,2020-02-11
377,310,7,1581379200000,CANADA,2020-02-11
378,367,42708,1581379200000,CHINA,2020-02-11
379,526,1,1581379200000,FINLAND,2020-02-11
380,573,11,1581379200000,FRANCE,2020-02-11
381,635,14,1581379200000,GERMANY,2020-02-11
382,724,3,1581379200000,INDIA,2020-02-11
383,769,135,1581379200000,International conveyance (Diamond Princess),2020-02-11
384,879,3,1581379200000,ITALY,2020-02-11
385,929,28,1581379200000,JAPAN,2020-02-11
386,1060,18,1581379200000,MALAYSIA,2020-02-11
387,1155,1,1581379200000,NEPAL,2020-02-11
388,1311,3,1581379200000,PHILIPPINES,2020-02-11
389,1391,28,1581379200000,REPUBLIC OF KOREA,2020-02-11
390,1450,2,1581379200000,RUSSIAN FEDERATION,2020-02-11
391,1549,47,1581379200000,SINGAPORE,2020-02-11
392,1607,2,1581379200000,SPAIN,2020-02-11
393,1651,1,1581379200000,SRI LANKA,2020-02-11
394,1692,1,1581379200000,SWEDEN,2020-02-11
395,1757,33,1581379200000,THAILAND,2020-02-11
396,1823,8,1581379200000,UNITED ARAB EMIRATES,2020-02-11
397,1864,8,1581379200000,UNITED KINGDOM,2020-02-11
398,1914,13,1581379200000,UNITED STATES OF AMERICA,2020-02-11
399,1962,15,1581379200000,VIET NAM,2020-02-11
400,82,15,1581465600000,AUSTRALIA,2020-02-12
401,181,1,1581465600000,BELGIUM,2020-02-12
